No,URL,Title,Topic,Tags,NSMI-TLT,Body,Attorneys / Legal Services
444,http://www.kansaslegalservices.org/node/2050,Emancipation,"Children's Advocacy Resource Center
Miscellaneous
Juveniles","emancipation
young adult",Family Law,"What is Emancipation?


	Emancipation means you are legally separated from your parents or guardian and do not have to live with them.&nbsp;
	The law in Kansas emancipates you when you are 18 years old.&nbsp;
	Having a baby does not make you legally emancipated.&nbsp;
	Your parents cannot emancipate you so they are no longer legally responsible for financially providing for you.&nbsp;
	It is possible to become emancipated prior to the age of 18, which is called an Emancipated Minor.&nbsp;
	
		If you will be 18 in six months or less, there is not time to complete the emancipation process before you turn 18 and are automatically emancipated.
	
	



What changes when you become emancipated?

If you become emancipated, you will have some of the rights that come with adulthood.

These rights include:


	Handling your own affairs
	Living where you choose
	Signing contracts
	Keeping and spending your money
	Consenting to all of your own medical care
	Getting a work permit without your parents’ consent
	Suing someone in your own name
	Staying out as late as you want


Even if you are emancipated, you still must:


	Go to school.&nbsp; You must stay in school until you graduate from high school or reach the age of 18.
	You cannot work as many hours as you want.&nbsp; Your employer still must follow all child labor laws and work permit rules.
	Statutory rape laws still apply to you.&nbsp; If you have sex, your partner can still get in trouble with the law.
	You cannot legally drink alcohol until you are 21.
	You can’t vote until you are 18.


When you become emancipated:


	You lose your right to have financial support – your basic living expenses and health care – paid by your parents or guardian.
	Your parents or guardian will no longer be legally or financially responsible if you injure someone.
	Being emancipated does not automatically make you eligible for public benefits.



How can I get emancipated early?

Kansas’s law also allows early emancipation in certain circumstances.&nbsp;


	If you are 16 or over and married – but you must have the written consent of parents or guardian and a court order to get married before you are 18.
	Enlisting in the military – but you must have consent of your parents or guardian and permission by the armed services if you are under 18.
	By going to court and having the Judge declare you emancipated.&nbsp;To use this method, you must first satisfy all the following six requirements:&nbsp;



	You must be at least 14 years of age when you begin to seek legal emancipation.
	You must not be living with your parents or legal guardian.&nbsp; The court wants to be sure you have made living arrangements where you plan to stay for a long time.&nbsp; Saying you are staying with a friend is not good enough.
	Your parents or legal guardian must have consented/agreed to your living away from them.&nbsp; One way to do this is if they sign a consent to your Emancipation.&nbsp; If your parents sign this form, it will be easier for you to become emancipated.&nbsp; If your parents will not sign this form, you may be able to show the court that your parents have “acquiesced”.&nbsp; If you are living away from home and your parents know all about this but they are not strongly objecting or trying to bring you back home to live, a judge MAY interpret their lack of action as an agreement to your living arrangements.
	You must manage your own financial affairs.&nbsp; The court needs to be sure you have income earned only by you and that you make the decision on how that income is spent.&nbsp; You will need to show evidence that you pay your own bills, especially for necessary things like housing, food and clothing.&nbsp; Even if you trade housework for room and board, it is best if you get paid and show that you are actually paying rent.&nbsp; There is no set amount you must earn, but the Judge will look at your income closely to make certain you can meet your expenses.
	Your source of income must be legal.&nbsp; You cannot earn your money from criminal activities.
	The emancipation must be in your best interest.&nbsp; This allows the Judge a lot of freedom in deciding if you should be emancipated.&nbsp; Even if you meet the other five requirements, a judge who feels it is not in your best interest to become emancipated can deny your request.&nbsp; In court, your parents or anyone else may object to your emancipation and try to persuade the judge that it is not in your best interest.



Process of emancipation:

If you decide emancipation is the right decision for you and you meet the requirements, you also must have lived in the county for 12 months to file.


	You will also need to pay a filing fee – around $111.00 (you may be able to get a waiver not to pay the fees, but that can go against you in front of the judge).
	You may also have to pay a publication fee.&nbsp;
	The Clerk of your county court will have the necessary forms to fill out to file and can answer questions.&nbsp;


&nbsp;

Briefly, the process includes:


	Obtaining the forms from the Clerk’s office
	Completing the forms
	Filing the forms with the Court
	The petition goes to the Court for review.&nbsp;
	
		If there is no hearing, you will be notified by mail.&nbsp;
		If there is a hearing, the Court will decide who to notify so they can appear at the hearing.&nbsp;
		
			Your parents or legal guardian will have a right to receive an official notice of hearing, as well as SRS or the Probation Department, if they are supervising you.
		
		
	
	
	If your parents sign waivers, it can speed up this process.
	The hearing will be set in about four to six weeks.&nbsp; You may have to pay for notification and/or publication.
	At the hearing, the Judge will listen to you, look at the forms you filled out and listen to anyone who objects.&nbsp;
	
		If the Judge feels you have met all the requirements and it is in your best interest, the petition will be approved.
	
	


&nbsp;

If your emancipation if approved by the Court:


	You can get a Certified Copy of Emancipation from the Clerk, for a fee.&nbsp;
	
		Take it to the Department of Motor Vehicles to get a new ID card to show you are emancipated.&nbsp;
		You will need this card to prove to a landlord and future employers that you are an emancipated minor.
	
	



Additional Resources

On Your Own: A Guide For Young Adults
",
445,http://www.kansaslegalservices.org/node/2052,Guide to Children's Issues,"Children's Advocacy Resource Center
Education
Family Law
Juveniles","Guide
Children
parent
grandparent
Divorce
Custody
support
emancipation
Adoption
juvenile",Family Law,"This page is intended to be a guide for all issues involving children.&nbsp;Whether you are a child or have a child and need an answer, we'll help you get to the right place.&nbsp;

Don't know where to go next?&nbsp;Just answer the questions in the guide and let it do the work for you!&nbsp;

It'll help you get to the right starting point for your issue.&nbsp;

&nbsp;

&nbsp;

&nbsp;

&nbsp;
",
446,http://www.kansaslegalservices.org/node/2053,Study: More help needed for unrepresented in family court,Family Law,"self-represent
Pro Se",Family Law,"BY DONNA BRYSON &nbsp;Associated Press &nbsp; June 10, 2016 &nbsp;Wichita Eagle

DENVER: &nbsp;After speaking to more than 100 people in four states who represented themselves in divorce, custody and child support cases, researchers are calling on lawyers to provide cheaper services and courts to offer more resources to those acting as their own attorneys.

More and more Americans are navigating the legal system on their own. Some jurisdictions report it's becoming the norm for at least one party to act on his or her own behalf in family court, often because trained help is out of financial reach.


The quality of justice can suffer, but things like technology and access to certain services help, according to a study released this week by Denver's Institute for the Advancement of the American Legal System.


Fort Collins nurse Kerry Rayder, who was among the 128 people in Colorado, Massachusetts, Oregon and Tennessee who were interviewed for the report, said she and her husband parted amicably in 2014, and neither had money to spare for a lawyer.

Rayder was confident her experience with medical documentation and her problem-solving personality would make filing for divorce manageable.

Instead, she spent so much time puzzling over ""legalese"" that her teenage daughter felt she was being neglected just as the dissolution of her family made her want her mother's attention.

""It's a much more difficult process than it has to be,"" Rayder told The Associated Press. She echoed the researchers' recommendation that legal language be simplified. She also was intrigued at a suggestion that attorneys coach people representing themselves at a fraction of their usual fees.

Natalie Anne Knowlton, who directed a family-focused project at the institute that prepared the ""Cases Without Counsel"" report, pointed to other attorney innovations.


Lawyers have, for example, left tasks such as filing documents to clients and billed only for questioning an estranged spouse or appearing in court, which can be particularly fraught for the uninitiated.


Last year, Knowlton's institute opened an out-of-court center based on an Australian model. For $4,500, center staff guide couples through divorces on which a retired judge signs off.

""Cases Without Counsel"" also cited a California example of a technological fix.

Earlier this year, the Orange County Superior Court launched an online portal that people can use to find forms, watch video instruction manuals or sign up for workshops on court procedure.

In 2013, the American Bar Association noted studies showing the number of people going to court without lawyers was increasing across the country, with between 60 and 90 percent of family law cases involving at least one party who had no legal representation.

Jason Drake, who also was interviewed for the Denver study, said the $5,000 he could afford in legal fees was only enough for the early stages of a divorce case that started in 2012. He finished on his own in 2014, informing himself in law libraries and online.

The 40-year-old machine technician from Orange, Massachusetts, estimated he spent four to six hours a day on his case, time he said he should have devoted to his two children during a stressful period. His former wife had a lawyer.

Fighting your own case is ""enormously devastating to both the wallet and the psyche,"" Drake told the AP.

The Denver researchers chose jurisdictions in Colorado, Massachusetts, Oregon and Tennessee that offered diversity in geography and demographics, as well as in the range of court resources available to people representing themselves. They found subjects by recruiting at courthouses and scouring court records and sending notices to people who were involved in family cases.


The study brought important voices into a growing national conversation, said Jim Sandman, president of the nonprofit Legal Services Corporation (LSC).&nbsp;


LSC supports legal aid programs for low-income Americans. Sandman was not involved in the study.

Sandman noted judges who were interviewed by the Denver researchers spoke of seeing people fail to back up important points with evidence because they did not understand the rules.

""It affects the quality of justice,"" he said. ""It affects the integrity of the results.""

The Denver study mirrored an effort several years ago to determine how ordinary people were faring in Canadian courts. That research by Julie Macfarlane, a law professor at the University of Windsor, Ontario, led to the founding of Canada's National Self-Represented Litigants Project, which enables researchers, legal experts and others to share information and ideas.

In a telephone interview, Macfarlane said she can, for example, help link court officials with laymen to test whether online tools are effective and easy to use.

""That's the kind of thing that's really important going forward,"" Macfarlane said. ""It needs to keep involving the users.""

&nbsp;

The photo shows researcher Natalie Anne Knowlton on the University of Denver law school campus in Denver. June 9, 2016 &nbsp;Donna Bryson&nbsp;AP Photo


Read more here: http://www.kansas.com/news/business/article83010212.html#storylink=cpy

&nbsp;

&nbsp;
",
449,http://www.kansaslegalservices.org/node/2056,Kansas hits the skids on taking care of its children,Poverty,"children in poverty
kids count",Family Law,"&nbsp;

KIDS COUNT DATA: &nbsp;When it comes to the well-being of its&nbsp;children, Kansas took a tumble down the national rankings.

&nbsp;

WIBW 13 News&nbsp;&nbsp;By&nbsp;Lindsay Sax&nbsp;&nbsp;Jun 21, 2016&nbsp;&nbsp;|&nbsp;

&nbsp;

Things have gotten worse for children and youth in Kansas since 2015. &nbsp;“What’s evident is that policy choices of the post-recession years have eroded the well-being of children and families in Kansas,"" said Annie McKay, president and CEO of Kansas Action for Children.


“Kansas struggles to keep afloat while other states swim laps around us.”


On June 21, Annie E. Casey Foundation released the 27th edition of its annual&nbsp;KIDS COUNT Data Book. The book ranks how each state takes care of its children, based on factors like economic well-being, education, health, and family and community.

In the 2016 edition, Kansas fell to 19th place overall. That's after coming in at 15th last year. That's the 3rd biggest drop in overall rankings on the list.

The Sunflower State also lost ground in two other categories: overall health and education. After ranking 13th in health in 2015, Kansas 24th place rank barely puts it in the top half of the country this year. In education, the state dropped eight slots from 12th to 20th.

Kansas managed to stand pat in the two other measures, ranking 9th and 24th in economic well-being and family and community, respectively.

According to the Data Book, 65 percent of Kansas fourth graders scored below proficient in reading, dropping Kansas from 13th overall to 30th nationally.

“Unfortunately, instead of re-investing in important programs like early childhood education and expanding access to the safety net for Kansas’ most vulnerable kids, policy makers weakened the safety net, repeatedly cut or swept funding for the Children’s Initiatives Fund, and diminished the state revenue stream, making Kansas families even more vulnerable and economically fragile,” McKay said. “Kansas’ overall decline is a direct reflection of those choices.”


The number of children living in high poverty areas has also increased.


From 2008 to 2014, the study says 65,000 or nine percent, of all Kansas children lived in high poverty areas. That’s compared to two percent in 2000.

The number of children living with a parent without full-time, year-round employment increased to 25 percent, dropping Kansas from 6th and 10th overall.

Kansas did make strides when it comes to children covered by health insurance. Since 2008, the number of children not covered by health insurance dropped from eight percent to five percent. The increase in covered children improved Kansas’ rating from 23rd to 17th.

The 2016 Data Book is available online at&nbsp;www.aecf.org.
",
451,http://www.kansaslegalservices.org/node/2061,Kansas Victim Information Notification Everyday (VINE),"Abuse and Stalking
Abuse / Domestic Violence
Abuse and Neglect","Victim
victims
VINE
notification
Crime",Family Law,"Kansas VINE (Victim Information Notification Everyday)&nbsp;Service

Information and Notification for Offender Custody Status in County Jails.


	Kansas VINE stands for Victim Information and Notification Everyday. It is a service provided through the Kansas Department of Labor, the Office of the Attorney General and the Kansas Sheriffs' Association.&nbsp;
	Kansas VINE is in an implementation phase. Select county jails will be added monthly, starting in March 2016.
	VINELink in your area may be briefly unavailable while it is being set up. Please check back each month for to see if it’s up in your area. For help now, call 1-866-Appriss (866-277-7477).


What is it?


	VINELink is an online portal to VINE, America’s number one victim warning network.
	VINE has been providing victims and concerned citizens with the power of data for decades, allowing them to have the sense of safety that they deserve.
	VINELink can be accessed 24 hours a day, seven days a week, to give the most reliable info for custody status changes and criminal case information.
	The VINE service provides info by phone, email, TTY, and text message where offered. You may also sign up through your participating state, or county’s toll-free number.&nbsp;


​

How to access offender custody info?


	Call 1-866-KS-4-VINE (1-866-574-8463)
	TTY at 1-866-847-1298
	Download the&nbsp;VINEmobile app
	Visit&nbsp;www.vinelink.com


How to Register?


	If the offender is in custody, you can register to receive VINE notices.
	If you register a phone number, you must create a four-digit personal identification number (PIN) that you will need when you receive updates. Make sure your PIN is easy to remember. Write it down and keep it in a safe place.
	Email registrations do not need a PIN.&nbsp;​


How do updates work?


	Once registered, you will be notified about offender custody status in county jail changes such as release, transfer, or escape.
	When VINE calls, listen to the message, then enter your PIN followed by the pound (#) key when asked. Entering the PIN lets VINE know that you received the call and will stop the service from calling you again.
	No PIN is needed to register for email notices. You will receive one email when there is a change in custody status.&nbsp;
	If you do not answer a notice call, VINE will leave a message and will continue calling back until you enter your PIN for 24 hours. You may get a call from VINE in the middle of the night.


Important info and reminders:


	Do not register a phone number that rings to a switchboard.
	VINE is confidential.
	You can register several phone numbers and email addresses for alerts.
	If you forget your PIN, call the toll-free number (1-866-574-8463) and press zero for a VINE service agent.
	VINE service agents are there 24 hours a day, seven days a week to help you.&nbsp;
	Do not rely solely on VINE for your safety. If you feel you are in danger, call 911.


&nbsp;

Kansas Victims' Bill of Rights

&nbsp;

Local Victim Resources

Kansas Domestic Violence Sexual Assault Crisis Hotline

The Kansas Domestic Violence Sexual Assault Crisis Hotline is a toll free, 24 hour statewide crisis hotline. It links victims of domestic and sexual assault to crisis programs in Kansas. The telephone number is 1-888-END-ABUSE (1-888-363-2287).


Kansas Coalition Against Sexual and Domestic Violence

The Kansas Coalition Against Sexual and Domestic Violence is a network of statewide domestic violence and sexual assault advocacy programs. The telephone number is (785) 232-9784.

Website


Kansas Attorney General's Office

The Victim Services Division provides resources and support for victims of crime. The telephone number is 1-800-828-9745.

The Division of Crime Victim Compensation provides victims with financial assistance for loss of earnings and out-of-pocket loss for injuries sustained as a direct result of violent crime. The telephone number is (785) 296-2359.

Website


Kansas Department of Corrections Office of Victim Services

The Kansas Department of Corrections Office of Victim Services provides info, services, and support to crime victims of offenders in prison or on parole. The telephone number is 1-866-404-6732.

Website


Parents of Murdered Children

Parents of Murdered Children is a self-help group that provides support and advocacy to families affected by murder. The Wichita telephone number is (316) 722-2907. The Kansas City telephone number is (816) 850-4200.

Website


Mothers Against Drunk Driving (MADD)

Mothers Against Drunk Driving (MADD) provides support and advocacy to victims of drunk driving. You can reach MADD Kansas by calling 1-800-443-6233.

Website


RAINN, the National Sexual Assault Hotline

RAINN, the National Sexual Assault Hotline, can give info about sexual assault programs in your local community. RAINN offers services for victims of sexual assault, including medical and legal advocacy, medical examinations, support groups, community education and other community resources. The 24-hour crisis hotline number is 1-800-656-HOPE.

Website


NOVA, the National Organization for Victim Assistance

For referrals and info on resources, victims of crime and crisis can call the National Organization for Victim Assistance, or NOVA. The telephone number is 1-800-TRY-NOVA.

Website


The National Center for Victims of Crime

The National Center for Victims of Crime provides a complete, toll free source of info and referral for victims of crime. This agency can be reached by calling 1-800-FYI-CALL (1-800-394-2255).

Website


National Human Trafficking Resource Center

The telephone number is&nbsp;1-888-373-7888.

Website
",Education
455,http://www.kansaslegalservices.org/node/2068,5 Children Kansas Child Support Schedule,"Family Law
Child Support","Child Support
schedule
child support guidelines",Family Law,"5 Child Kansas&nbsp;Child Support&nbsp;Worksheet: &nbsp;Five Children - Support Schedule

This&nbsp;Child support&nbsp;schedule can be used to determine the&nbsp;child support&nbsp;obligation of parents with five children. This should be used in conjunction with the&nbsp;Child Support&nbsp;worksheet Interactive program&nbsp;click&nbsp;here.

The&nbsp;child support&nbsp;guidelines can be accessed here:&nbsp;Child support&nbsp;Guidelines&nbsp;
",
456,http://www.kansaslegalservices.org/node/2069,6 Children Kansas Child Support Schedule,"Family Law
Child Support","Child Support
schedule
child support guidelines",Family Law,"6 Child Kansas&nbsp;Child Support&nbsp;Worksheet:&nbsp;Six Children - Support Schedule

This&nbsp;Child support&nbsp;schedule can be used to determine the&nbsp;child support&nbsp;obligation of parents with six children. This should be used in conjunction with the&nbsp;Child Support&nbsp;worksheet Interactive program&nbsp;click&nbsp;here.

The&nbsp;child support&nbsp;guidelines can be accessed here:&nbsp;Child support&nbsp;Guidelines&nbsp;
",
460,http://www.kansaslegalservices.org/node/2078,Silenced no more: Women speak out about violence,"Abuse and Stalking
Abuse and Neglect","Domestic Violence
sexual assault",Family Law,"Local women say now is the time to speak about sexual assault

&nbsp;

BY LAURA BAUER, KATY BERGEN AND MARÁ ROSE WILLIAMS

The Kansas City Star&nbsp; October 23, 2016

She was 12, sitting in a dark auditorium, when a boy sitting next to her started rubbing her thigh without consent.

One woman endured constant lewd comments from male co-workers, only to be nicknamed “Little Miss Tattle Tale” when she reported the harassment.

Many kept the stories of their assault and harassment a secret for decades.

Experiences like these — shared by men and women in a&nbsp;survey conducted this week&nbsp;by The Star — tell a pervasive story of sexual harassment and sexual assault. The nearly 300 responses show that inappropriate sexual behavior exists in the workplace, on college campuses, in bars, inside homes, between friends and acquaintances. Many said they never told anyone for fear they would be shamed or doubted.

But that, advocates say, could be a crucial step closer to changing.

In June, a woman who was sexually assaulted at Stanford University&nbsp;published a gut-wrenching letter&nbsp;about her experience. Then, two weeks ago, a tape surfaced of a&nbsp;2005 conversation&nbsp;between presidential candidate Donald Trump and then-“Access Hollywood” co-host Billy Bush.

That exchange prompted survivors across the country to step out of the shadows and share their experiences — many for the first time — on social media.

Responding to a challenge from a Canadian author, women and men wrote about their “first assaults” on Twitter under&nbsp;#notokay. Roughly 10 million people have since posted their stories or responded to the tweet.

“People are emboldened when they don’t have to say things face to face,” said Jill Patterson, a former prosecutor for sexual and domestic violence in southwest Missouri’s Greene County. “And when they see others who are going through the same thing, people feel courage.&nbsp;… We are tearing down the isolation because there is so much conversation, so many are coming forward, and there is strength in numbers.”

The support has been “God’s grace” for Maggie, a Kansas City woman who was raped three decades ago.

“To see others speaking out about it, that brings more comfort to me than anything else in the world. Nothing will make it OK, but if others are rallying around it, I mean, thank you. Thank you very much.”

Among the throng of #notokay tweets, a Kansas City-area woman shared her story on Oct. 8, the day after the Trump tape surfaced.

“Family friend tells me ‘You shouldn’t LET me do this’ as he put his hand down my pants. I was 12. Made me think it was my fault.”

The impact isn’t just felt on social media. Kansas City’s&nbsp;Metropolitan Organization to Counter Sexual Assault&nbsp;(MOCSA) has seen the number of calls to the crisis line double in the past two weeks. And last weekend, 23 people went to hospitals in the six-county area for sexual assault exams. That’s twice the number for a typical weekend.

“This is the first time in my career that I really felt that this has reached its tipping point,” said Julie Donelon, MOCSA’s president and CEO. “This conversation isn’t going to die down. Survivors aren’t going to let that happen. Advocates aren’t going to let that happen.

“People are talking about this issue and realize we have a role in changing the narrative.”

‘Not my fault’

For Andrea, a 32-year-old who lives in mid-Missouri, the narrative was about blame.

She woke up in the bedroom with a man she didn’t know on top of her. And for 10 years, she didn’t tell anyone. She was 21 and had been drinking when the incident occurred after she laid down in a spare bedroom during a party with friends. For years, she carried a sense of responsibility for the assault because she had been drinking.

“The older I get and the more confident I become in myself, I realized that it was not my fault,” Andrea told The Star. “It didn’t matter how much I was drinking. It didn’t matter how much my friends were drinking. It was nobody’s fault but the person who tried to do something he shouldn’t have done.”

Andrea says she believes she would react differently if the same thing happened to her today and would report it to authorities. She attributes that partly to growing up and partly to increased dialogue about sexual assault. She hopes that dialogue continues and helps educate young people about these issues.

“I think the conversation needs to start early about what appropriate boundaries are,” Andrea said. “What are appropriate ways to talk about men and about women?”


October is National Domestic Violence Awareness Month


Margaret Veglahn of Prairie Village has been going to Kansas City-area schools for the past year to help educate young people and change the conversation.

Just 14, Margaret is a peer educator for&nbsp;Safehome, a Johnson County domestic violence agency. She and other volunteers talk to young people and perform skits about everything from bullying and teen dating to sexual harassment and assault.

“I’m seeing the girls and boys who are victims,” Margaret said. “They’re asking us, ‘How do I protect myself?’&nbsp;”

The idea, she said, is to stop the cycle of mistreatment and abuse. That’s why the Trump tape made her so angry. The high school student worried about the impact his words could have.

“They shouldn’t be taught that a ‘star’ can treat women however they want to,” Margaret wrote on Facebook. “Eleven-year-old girls ask me what they did wrong that resulted in their own sexual assault. The world has told them THEY need to change. Me, a 14-year-old, should not have to hug them and tell them they did nothing wrong.”

‘It was validating’

Janie M. saw The Star’s survey after a Facebook friend shared it and revealed she had been date-raped. That’s when Janie felt compelled to speak out about her assault.

She was 18 and pregnant when her mother took her to a psychologist to talk about what she was going through. Instead, the doctor asked her personal questions about her pregnancy and how her body had changed. Then he removed her bra and began touching and examining her breasts. This is the first time Janie has told her story publicly.

“I want people to be aware that these things really do happen,” Janie told the newspaper after completing the survey. “I don’t think we should have to keep quiet about that. Should a woman have to go through that all her life just to be able to go to work or make a living or go to a doctor?”

She also hopes sharing her story sheds light on how little action is often taken after women report assault. After she left the psychologist’s office, she told her mother what happened. Distraught, her mother barged into the office and demanded an explanation. The family was told that the psychologist was a “good doctor” with zero complaints. No one called police.

“Nothing ever happened,” Janie said. “Who do you turn to? How do you get it to stop?”

At the University of Kansas, a fed-up Emma Halling organized a student forum.

Two years ago, Halling got angry after a male student received what she thought was a mild punishment for sexually assaulting a female on campus.

Halling, now a law student at the University of California, Berkeley, used Facebook to organize a student forum and push a referendum asking the university to do more to address sexual assault.

“I think social media made it easy to accumulate more people with shared experience,” Halling, 24, said. “People were saying, ‘I am pissed and I know you are pissed too.’”

As Halling addressed the campus forum where hundreds showed up, she found herself telling her own story of being sexually assaulted by a neighbor when she was 15 years old — something she hadn’t ever spoken of in public.

Then, one after another, nearly a dozen women approached the podium and shared their stories of sexual abuse and harassment.

“For me it was validating,” Halling said. “I had been trying to organize people to talk about sexual assaults on college campuses for about a year. This proved I hadn’t been just yelling down an empty hallway.

“It is undeniable. This is a movement.”

‘Without shame’

Annette Jenkins, a 27-year-old manager of a Columbia law firm, knew her abuser from church.

“He was 89 years old, nice, the sweet grandfather figure who always had a pocket full of peppermints,” Jenkins said.

One summer morning when she was 13, Annette and her younger brother were home alone when someone knocked on the front door. The man, a church deacon, had never been to her home before but there he was.

“I didn’t know why he was there,” Jenkins recalled. “I stepped outside to talk with him.” She hugged him as a greeting.

Jenkins, who later told a sheriff’s deputy what happened, said the man put his hand under her shirt and touched her. She pushed his hand away and he tried to slide his hand inside her shorts.

“I crossed my legs to stop him. He stopped and said, ‘You didn’t like that did you?’ I said no and the tears just came. I showered for 45 minutes after. I could smell him on me.”

She called her mom and told her father, the town prosecutor. But Jenkins never testified against the man. “Something I regret to this day.” She said he pleaded guilty to a misdemeanor charge.

Jenkins had family support. But “churchgoers sided with him,” she said. “People were saying he would never do that, what did she do?”

She shared her story through The Star survey because, “I would like to see justice for those too scared to talk about it.”

“We are getting tired of being harassed, we are getting tired of hearing, ‘oh boys will be boys,’&nbsp;” Jenkins said.

Maggie, a Kansas City woman, held her secret close for 30 years. A select few, including her brother and mother, knew what had happened to her in high school.

They knew that her brother’s friend had raped her and that she had carried the pain and shame with her every day since. But to most of the world, it was hidden.

Then, on a Sunday in June, she saw a post on Twitter about the sexual assault at Stanford. The survivor had shared the letter she read in court to her attacker, an athlete who assaulted her when she was unconscious.

Maggie read the words and sobbed. So much of the woman’s story and pain sounded like her own.

“I ran upstairs, grabbed my laptop and started writing my story,” she said.

A month later, she told her father. And in late August, she invited 20 of the women closest to her for a “Survive &amp; Thrive” gathering. Her mom was there when Maggie told the group what had happened three decades before. She told them she was a survivor.

“I never slept so well as I did after that,” Maggie said.

She feels now is the time to keep the issues of rape culture and rape prevention out front and public. Get people talking about it. Let people know the narrative can change. It has to.

“If we consistently have the dialogue that yes means yes and everything else means no, then we will be making progress, meaningful progress,” Maggie said. “I think this is a moment in time we need to seize.

“Maybe we won’t end rape,” she said. “But maybe we will empower victims to come forward without shame.”



If you would like to learn more about what services are available for survivors of domestic violence, sexual assault and stalking, please visit the Kansas Coalition Against Sexual and Domestic Violence&nbsp;website.
",Family Law
461,http://www.kansaslegalservices.org/node/2079,Resources for Survivors of Abuse and Stalking,"Abuse and Stalking
Abuse / Domestic Violence
Abuse and Neglect",,Family Law,"Many pages and resources on this website have help for survivors of physical or sexual abuse, stalking, and other crimes. &nbsp;Here is list of links to pages that will help you or someone you care about deal with some of the issues faced by survivors of these crimes.

Can a Protection from Abuse order help me?

Domestic Violence and Courts - Frequently Asked Questions

Kansas VINE (Victim Information Notification Everyday)&nbsp;Service

Protection from Abuse: Tips and Tricks Guide

All About Kansas Divorce

Kansas Protection From Abuse Forms - Spanish Version*

This is a complete set of the Kansas Protection from Abuse forms in English, with a Spanish translation underneath. The form should be completed in English, as much as possible, as the Court...

Crime Victims Bill of Rights

Know your rights as a victim of crime http://www.ksag.org/page/kansas-crime-victims-bill-of-rights-ksa-74-7333

Elder Abuse

The Kansas Department for Children and Families has Adult Protection information on abuse, neglect and how to get help.&nbsp; http://www.dcf.ks.gov/services/PPS/Pages/APS/AdultProtectiveServices.aspx

Kansas Safe at Home Program

Safe At Home is an address privacy program made possible in Kansas for the victims of domestic or sexual abuse, trafficking or stalking. Through the program, approved members would receive their...
",Elections
469,http://www.kansaslegalservices.org/node/2092,Alex Goes to Court,Children's Advocacy Resource Center,"children in court
youth
CINC",Family Law,"








































",
178,http://www.kansaslegalservices.org/node/287,Food and Nutrition Programs,Food Programs,"food
hunger
Food Stamps",Food Programs,"In Kansas, the Department for Children and Familiy Services administers the federal Supplemental Nutrition Assistance Program.

Read about it here.

&nbsp;

&nbsp;
",
255,http://www.kansaslegalservices.org/node/1247,Foodstamp Program,Food Programs,"SNAP
Public Benefits
public assistance
hunger
foodstamps
foodstamp program
food assistance",Food Programs,"You may be eligible for the Supplemental Nutrition Assistance Program (SNAP) or more commonly known as foodstamps. &nbsp;Use The Benefit Bank&nbsp;tool to find out if you can get some help with buying food and whether you are eligible for other public benefits.
",
